X,Y,OBJECTID,Count_,Int_Number,Location,Dist
768650.32303825,2948230.65821223,702,495,1155,"Davenport St., Hammond St., & Tremont St.",RX
769933.10495396,2945038.73128659,703,497,4060,"Dearborn St., Dudley St., & Mt. Pleasant St.",RX
775608.569373354,2937416.65668881,704,517,222,"Dorchester Ave., East St., Freeport St., Hancock St., & Hoyt St.",DO
775981.699663058,2944875.407653,705,518,1050,"Dorchester Ave., Father Anthony Songin Way, & Major O'Connor Way",SB
775119.012290373,2934575.90557335,706,519,2301,"Dorchester Ave., Faulkner St., & Lincoln St.",DO
774370.074797779,2930988.9051415,707,520,1168,"Dorchester Ave., Lonsdale St., & Welles Ave.",DO
774837.192576557,2933237.66681512,708,521,673,"Dorchester Ave., Melville Ave., & Parkman St.",DO
779061.886907145,2947598.90841764,709,526,175,"Dorchester St., East Broadway, & West Broadway (Perkins Sq.)",SB
771857.823679835,2942426.90700983,710,532,754,"Dudley St., East Cottage St., & West Cottage St.",DO
772202.761836842,2929644.15454179,711,534,4029,"Dunbar Ave., Roslin St., & Washington St.",DO
773112.260959417,2962941.66097453,712,535,3134,"Dunstable St., Main St., & Sullivan St.",CH
780558.348437726,2947645.70070988,713,542,1008,"East Broadway, Emerson St., & I St.",SB
771749.26097241,2949074.40843885,714,544,650,"East Brookline St., Washington St., & West Brookline St.",BP
781760.262907103,2948293.90857089,715,549,991,"East First St., L St., & Summer St.",SB
771448.698533803,2948800.65826678,716,551,383,"East Newton St., Washington St., & West Newton St.",BP
779448.705228627,2953263.18788882,717,552,3107,"East Service Rd., Pier Four Blvd., &  Seaport Blvd.",SB
762036.945908844,2938654.15363462,718,555,435,"Elm St., Green St., & Lamartine St.",WR
752598.555345148,2924672.26289125,719,557,255,"Enneking Pkwy., LaGrange St., & Washington St.",WR
752598.555345148,2924672.26289125,720,558,254,"Enneking Pkwy., Washington St., & West Roxbury Pkwy.",WR
775638.072996587,2953727.40443161,721,564,1291,"Essex St., Lincoln St., & Surface Rd.",BP
751803.695466444,2954742.66256411,722,565,1259,"Etna St., Life St., & North Beacon St.",AB
769270.823298931,2946272.90783715,723,567,1007,"Eustis St., Washington St., & Williams St.",RX
764889.998129606,2948705.18182507,724,569,9003,"Evans Way, Fenway, & Louis Prang St.",BP
770049.4565247,2952054.80357951,725,575,82,"Exeter St., Huntington Ave., & Stuart St.",BP
766839.948485196,2926530.15374485,726,584,985,"Fessenden St., Mildred Ave., & Norfolk St.",DO
757416.755742013,2930424.96591856,727,585,978,"Firth Rd., South St., & Washington St.",WR
